order	maxcpp	nlines	contrast	RV	sig
-----	------	------	--------	--	---
 0	  450	 106	50.9	  35.5157	 3.2349
 1	  392	 104	45.6	  35.4695	 3.1156
 2	  546	  96	49.6	  35.5169	 2.8956
 3	  671	  96	46.5	  35.7483	 3.0992
 4	  779	 114	47.4	  35.5723	 3.2599
 5	  790	 114	40.9	  35.3872	 3.0020
 6	  992	 103	44.0	  35.5470	 2.8925
 7	 1087	 114	38.4	  35.4350	 2.7095
 8	 1740	 125	48.8	  35.4594	 2.9725
 9	 1951	 123	49.7	  35.5179	 3.2178
10	 2084	 120	46.4	  35.5977	 2.9076
11	 2362	 112	52.1	  35.5974	 3.1649
12	 2573	 115	47.4	  35.5923	 2.9732
13	 2931	 121	45.2	  35.5605	 2.8725
14	 2988	 115	48.6	  35.4937	 3.1808
15	 3389	 113	50.3	  35.5505	 3.3044
16	 3401	 108	50.7	  35.4827	 3.3861
17	 3808	 100	46.9	  35.3704	 3.9475
18	 3676	 111	47.5	  35.4026	 3.3217
19	 3683	 102	44.4	  35.6439	 2.9370
20	 4632	  88	39.7	  35.5943	 2.8175
21	 5058	  91	42.2	  35.5514	 3.0168
22	 5409	 102	42.3	  35.5142	 2.9470
23	 6155	 111	46.9	  35.4991	 3.1037
24	 6530	 107	48.4	  35.5551	 3.1097
25	 7160	  89	42.8	  35.5798	 3.0056
26	 7742	  92	45.2	  35.5675	 3.0132
27	 7659	  81	44.1	  35.6339	 3.3624
28	 8480	  67	46.9	  35.5693	 3.2418
29	 9001	  68	44.3	  35.5248	 3.0136
30	 9060	  77	36.7	  35.6499	 2.9018
31	 9099	  73	39.8	  35.5096	 3.1899
32	 9384	  68	42.9	  35.5483	 3.0859
33	 9551	  68	41.0	  35.5334	 2.8661
34	 9876	  74	35.6	  35.5928	 3.0274
35	 9451	  79	36.7	  35.5733	 3.0855
36	 9426	  70	45.6	  35.5557	 3.2187
37	11031	  55	49.3	  35.5026	 3.4166
38	11274	  64	46.0	  35.5530	 2.9837
39	11554	  85	46.3	  35.5218	 3.2369
40	10788	  67	44.2	  35.4558	 3.1515
41	11702	  67	43.7	  35.4884	 3.1660
42	11900	  80	43.1	  35.5163	 3.0286
43	11677	  60	49.5	  35.5398	 3.8342
44	12968	  73	44.4	  35.5608	 3.1792
45	12935	  74	43.9	  35.5315	 3.4663
46	12769	  43	49.5	  35.5399	 3.7945
47	13995	  59	44.6	  35.5506	 3.7931
48	12838	  47	39.4	  35.4605	 3.0469
49	14497	  52	35.3	  35.5322	 3.3862
50	13540	  40	42.5	  35.4701	 3.5423
51	13303	  47	41.1	  35.4029	 3.6955
52	14658	  60	31.1	  35.5099	 2.8551
53	15284	  42	33.6	  35.6340	 3.2070
54	15704	  40	28.7	  35.5805	 2.9472
55	12995	  30	25.8	  35.5055	 2.8486
56	13166	  13	36.7	  35.5049	 2.9460
57	    0	   0	 0.0	   0.0000	 0.0000
58	15898	  17	42.5	  35.4506	 3.4706
59	15065	  23	34.7	  35.5166	 3.2555
60	17298	  47	37.6	  35.5116	 3.2566
61	19480	  41	39.0	  35.5188	 3.1085
62	20388	  48	36.9	  35.4822	 3.2267
63	13491	   7	36.7	  35.5170	 3.1502
64	19158	  31	29.6	  35.4640	 3.0809
65	21454	  25	44.6	  35.5383	 3.3615
66	    0	   0	 0.0	   0.0000	 0.0000
67	15186	   5	26.9	  35.4177	 2.8737
68	21746	  23	30.1	  35.4664	 2.9367
69	21254	  32	22.3	  35.5106	 3.1999
70	21084	  19	21.6	  35.4812	 2.9402
71	    0	   0	 0.0	   0.0000	 0.0000
