order	maxcpp	nlines	contrast	RV	sig
-----	------	------	--------	--	---
 0	 1173	 106	50.7	  35.5115	 3.2216
 1	 1023	 104	45.6	  35.4713	 3.0736
 2	 1423	  96	49.7	  35.4720	 2.9148
 3	 1748	  96	46.5	  35.7842	 3.1173
 4	 2046	 114	47.6	  35.5682	 3.2341
 5	 2054	 114	41.1	  35.3754	 2.9925
 6	 2607	 103	44.1	  35.5682	 2.8786
 7	 2871	 114	38.3	  35.4440	 2.7105
 8	 4624	 125	48.5	  35.4638	 2.9826
 9	 5157	 123	49.6	  35.5309	 3.2280
10	 5567	 120	46.1	  35.5939	 2.9118
11	 6281	 112	51.9	  35.5950	 3.1518
12	 6842	 115	47.3	  35.5963	 2.9905
13	 7774	 121	45.3	  35.5571	 2.8765
14	 7951	 115	48.5	  35.4969	 3.1695
15	 8962	 113	50.4	  35.5548	 3.2944
16	 9027	 108	50.7	  35.4848	 3.3968
17	10071	 100	46.8	  35.3804	 3.9248
18	 9755	 111	47.5	  35.4089	 3.3297
19	 9762	 102	44.2	  35.6439	 2.9263
20	12238	  88	39.8	  35.6015	 2.8144
21	13327	  91	42.1	  35.5522	 3.0214
22	14248	 102	42.1	  35.5087	 2.9509
23	16194	 111	46.8	  35.4980	 3.1041
24	17098	 107	48.3	  35.5552	 3.1043
25	18761	  89	42.7	  35.5710	 3.0051
26	20339	  92	45.1	  35.5650	 3.0193
27	20003	  81	44.2	  35.6341	 3.3539
28	22243	  67	46.9	  35.5549	 3.2438
29	23529	  68	44.4	  35.5216	 3.0051
30	23713	  77	36.7	  35.6487	 2.9197
31	23867	  73	40.0	  35.5158	 3.1692
32	24639	  68	43.1	  35.5384	 3.0811
33	25185	  68	41.0	  35.5416	 2.8625
34	25987	  74	35.8	  35.5989	 3.0232
35	24891	  79	36.9	  35.5651	 3.0831
36	24826	  70	45.7	  35.5568	 3.2172
37	29039	  55	49.5	  35.5012	 3.4179
38	29890	  64	46.0	  35.5528	 2.9901
39	30556	  85	46.3	  35.5185	 3.2355
40	28626	  67	44.2	  35.4550	 3.1408
41	30940	  67	43.8	  35.4911	 3.1631
42	31498	  80	43.2	  35.5266	 3.0308
43	31080	  60	49.5	  35.5444	 3.8393
44	34362	  73	44.3	  35.5605	 3.1767
45	34222	  74	43.9	  35.5253	 3.4702
46	33918	  43	49.5	  35.5348	 3.7939
47	37016	  59	44.7	  35.5503	 3.7909
48	34017	  47	39.4	  35.4604	 3.0507
49	38359	  52	35.2	  35.5328	 3.4001
50	35940	  40	42.5	  35.4705	 3.5638
51	35178	  47	40.9	  35.3991	 3.7014
52	38640	  60	31.1	  35.4958	 2.8782
53	40191	  42	33.5	  35.6169	 3.2025
54	41375	  40	28.5	  35.5671	 2.9680
55	34272	  30	25.9	  35.5269	 2.8683
56	34334	  13	36.5	  35.5057	 2.9586
57	    0	   0	 0.0	   0.0000	 0.0000
58	42004	  17	42.6	  35.4542	 3.4705
59	39634	  23	34.6	  35.5151	 3.2551
60	45459	  47	37.6	  35.5093	 3.2584
61	51021	  41	38.8	  35.5164	 3.1102
62	53586	  48	37.0	  35.4820	 3.2163
63	36004	   7	36.8	  35.5331	 3.1024
64	50553	  31	29.7	  35.4635	 3.0835
65	56502	  25	44.5	  35.5274	 3.3803
66	    0	   0	 0.0	   0.0000	 0.0000
67	40868	   5	26.8	  35.4711	 2.8594
68	57687	  23	30.1	  35.4868	 2.9540
69	56398	  32	22.2	  35.5102	 3.2236
70	55660	  19	21.5	  35.4832	 2.9437
71	    0	   0	 0.0	   0.0000	 0.0000
