order	maxcpp	nlines	contrast	RV	sig
-----	------	------	--------	--	---
 0	 1446	 106	50.7	  35.5288	 3.2264
 1	 1253	 104	45.6	  35.4564	 3.1089
 2	 1732	  96	50.0	  35.4797	 2.9018
 3	 2120	  96	46.7	  35.7670	 3.1072
 4	 2467	 114	47.6	  35.5721	 3.2396
 5	 2507	 114	41.0	  35.3883	 2.9769
 6	 3134	 103	44.3	  35.5400	 2.8768
 7	 3432	 114	38.7	  35.4407	 2.7157
 8	 5565	 125	48.5	  35.4553	 2.9809
 9	 6213	 123	49.8	  35.5268	 3.2112
10	 6643	 120	46.1	  35.5904	 2.9187
11	 7544	 112	52.0	  35.5815	 3.1503
12	 8221	 115	47.2	  35.5875	 2.9915
13	 9351	 121	45.3	  35.5512	 2.8686
14	 9567	 115	48.4	  35.4826	 3.1736
15	10823	 113	50.4	  35.5415	 3.2971
16	10874	 108	50.7	  35.4712	 3.3881
17	12192	 100	46.9	  35.3586	 3.9349
18	11766	 111	47.6	  35.3963	 3.3326
19	11847	 102	44.3	  35.6342	 2.9254
20	14848	  88	39.8	  35.5926	 2.8133
21	16149	  91	42.1	  35.5482	 3.0108
22	17327	 102	42.2	  35.5005	 2.9485
23	19671	 111	46.7	  35.4875	 3.1068
24	20884	 107	48.4	  35.5357	 3.0963
25	22936	  89	42.8	  35.5632	 3.0058
26	24745	  92	45.2	  35.5623	 3.0198
27	24456	  81	44.2	  35.6200	 3.3461
28	27065	  67	47.1	  35.5455	 3.2468
29	28660	  68	44.5	  35.5150	 3.0031
30	29009	  77	36.8	  35.6334	 2.9128
31	28949	  73	39.9	  35.5002	 3.1664
32	29844	  68	43.0	  35.5316	 3.0837
33	30461	  68	41.1	  35.5268	 2.8661
34	31459	  74	35.8	  35.5935	 3.0291
35	30011	  79	36.9	  35.5532	 3.0791
36	30027	  70	45.7	  35.5428	 3.2232
37	35209	  55	49.4	  35.4854	 3.4151
38	35781	  64	46.1	  35.5399	 2.9791
39	36709	  85	46.5	  35.5096	 3.2273
40	34346	  67	44.3	  35.4415	 3.1477
41	37209	  67	43.9	  35.4769	 3.1556
42	37887	  80	43.2	  35.5117	 3.0254
43	37239	  60	49.5	  35.5289	 3.8387
44	41390	  73	44.4	  35.5440	 3.1824
45	41274	  74	44.0	  35.5176	 3.4583
46	40746	  43	49.7	  35.5170	 3.7848
47	44665	  59	44.8	  35.5304	 3.8013
48	40854	  47	39.7	  35.4437	 3.0521
49	46299	  52	35.4	  35.5173	 3.3822
50	43258	  40	42.4	  35.4526	 3.5498
51	42546	  47	41.1	  35.3938	 3.6876
52	46771	  60	31.2	  35.4890	 2.8589
53	48882	  42	33.7	  35.6106	 3.1927
54	50227	  40	28.7	  35.5541	 2.9559
55	41566	  30	25.7	  35.5297	 2.8581
56	42454	  13	36.6	  35.5012	 2.9554
57	    0	   0	 0.0	   0.0000	 0.0000
58	50438	  17	42.8	  35.4388	 3.4651
59	48004	  23	34.7	  35.5105	 3.2474
60	55272	  47	37.6	  35.5003	 3.2525
61	62202	  41	39.1	  35.5110	 3.1118
62	65108	  48	36.9	  35.4734	 3.2309
63	42839	   7	36.4	  35.5155	 3.1321
64	61181	  31	29.6	  35.4493	 3.0916
65	68408	  25	44.7	  35.5222	 3.3720
66	    0	   0	 0.0	   0.0000	 0.0000
67	48168	   5	26.9	  35.4336	 2.8699
68	69351	  23	30.1	  35.4566	 2.9619
69	67956	  32	22.3	  35.5130	 3.2146
70	67513	  19	21.7	  35.4768	 2.9456
71	    0	   0	 0.0	   0.0000	 0.0000
