order	maxcpp	nlines	contrast	RV	sig
-----	------	------	--------	--	---
 0	  897	 106	51.1	  35.5211	 3.2141
 1	  779	 104	45.6	  35.4660	 3.1279
 2	 1075	  96	49.4	  35.5176	 2.8988
 3	 1321	  96	46.6	  35.7743	 3.1120
 4	 1539	 114	47.6	  35.5860	 3.2487
 5	 1564	 114	40.9	  35.3921	 2.9894
 6	 1972	 103	44.1	  35.5447	 2.8817
 7	 2153	 114	38.6	  35.4573	 2.6975
 8	 3501	 125	48.4	  35.4534	 2.9784
 9	 3916	 123	49.8	  35.5214	 3.2085
10	 4197	 120	46.2	  35.6007	 2.9196
11	 4770	 112	51.9	  35.5942	 3.1512
12	 5186	 115	47.2	  35.5993	 2.9887
13	 5914	 121	45.2	  35.5648	 2.8693
14	 6048	 115	48.3	  35.4946	 3.1725
15	 6815	 113	50.3	  35.5495	 3.3071
16	 6851	 108	50.7	  35.4821	 3.3852
17	 7663	 100	46.8	  35.3774	 3.9592
18	 7411	 111	47.5	  35.3915	 3.3372
19	 7454	 102	44.2	  35.6425	 2.9318
20	 9298	  88	39.7	  35.6070	 2.8141
21	10135	  91	42.1	  35.5537	 3.0138
22	10815	 102	42.2	  35.5063	 2.9462
23	12291	 111	46.8	  35.4920	 3.1126
24	13023	 107	48.4	  35.5510	 3.1023
25	14284	  89	42.7	  35.5699	 3.0119
26	15414	  92	45.3	  35.5691	 3.0131
27	15251	  81	44.2	  35.6237	 3.3386
28	16876	  67	46.8	  35.5589	 3.2518
29	17887	  68	44.3	  35.5229	 3.0041
30	18052	  77	36.7	  35.6471	 2.9140
31	18044	  73	39.8	  35.5101	 3.1752
32	18622	  68	43.1	  35.5286	 3.0850
33	19032	  68	40.9	  35.5237	 2.8683
34	19677	  74	35.8	  35.5976	 3.0353
35	18794	  79	36.8	  35.5657	 3.0842
36	18802	  70	45.6	  35.5539	 3.2162
37	22044	  55	49.4	  35.4908	 3.4076
38	22500	  64	46.0	  35.5542	 2.9865
39	23064	  85	46.3	  35.5233	 3.2299
40	21575	  67	44.3	  35.4567	 3.1472
41	23364	  67	43.8	  35.4850	 3.1607
42	23845	  80	43.1	  35.5212	 3.0313
43	23589	  60	49.0	  35.5403	 3.8482
44	26048	  73	44.3	  35.5557	 3.1904
45	25988	  74	43.8	  35.5175	 3.4670
46	25710	  43	49.5	  35.5303	 3.7863
47	28106	  59	44.7	  35.5355	 3.7921
48	25518	  48	39.4	  35.4509	 3.0543
49	29150	  52	35.4	  35.5118	 3.3893
50	27247	  40	42.3	  35.4586	 3.5650
51	26794	  47	41.0	  35.3818	 3.7064
52	29422	  60	31.0	  35.4994	 2.8755
53	30586	  42	33.6	  35.6337	 3.2191
54	31436	  40	28.6	  35.5552	 2.9666
55	26040	  30	25.9	  35.5090	 2.8686
56	26544	  13	36.3	  35.5228	 2.9468
57	    0	   0	 0.0	   0.0000	 0.0000
58	31661	  17	42.6	  35.4363	 3.4832
59	30056	  23	34.7	  35.5224	 3.2472
60	34557	  47	37.6	  35.4973	 3.2538
61	38926	  41	39.0	  35.5129	 3.1206
62	40822	  48	36.8	  35.4744	 3.2314
63	26951	   7	36.7	  35.5192	 3.1101
64	38445	  31	29.5	  35.4550	 3.0936
65	42941	  25	44.6	  35.5228	 3.3909
66	    0	   0	 0.0	   0.0000	 0.0000
67	30566	   5	27.2	  35.4516	 2.8798
68	43746	  23	30.0	  35.4694	 2.9519
69	42968	  32	22.3	  35.5000	 3.2163
70	42576	  19	21.6	  35.4467	 2.9460
71	    0	   0	 0.0	   0.0000	 0.0000
