order	maxcpp	nlines	contrast	RV	sig
-----	------	------	--------	--	---
 0	  666	 106	50.6	  35.4916	 3.2374
 1	  576	 104	45.7	  35.4726	 3.1136
 2	  802	  96	49.9	  35.4702	 2.9076
 3	  989	  96	46.2	  35.7650	 3.1027
 4	 1156	 114	47.5	  35.5572	 3.2491
 5	 1171	 114	40.8	  35.3824	 2.9932
 6	 1466	 103	44.4	  35.5365	 2.8818
 7	 1614	 114	38.7	  35.4481	 2.7087
 8	 2609	 125	48.6	  35.4502	 2.9753
 9	 2916	 123	49.7	  35.5184	 3.2256
10	 3142	 120	46.1	  35.5857	 2.9148
11	 3544	 112	52.0	  35.5798	 3.1611
12	 3858	 115	47.3	  35.5973	 2.9904
13	 4395	 121	45.2	  35.5573	 2.8677
14	 4491	 115	48.3	  35.4912	 3.1726
15	 5071	 113	50.3	  35.5527	 3.3090
16	 5080	 108	50.6	  35.4785	 3.3925
17	 5684	 100	46.7	  35.3792	 3.9447
18	 5486	 111	47.6	  35.3990	 3.3358
19	 5493	 102	44.4	  35.6388	 2.9315
20	 6898	  88	39.8	  35.5911	 2.8153
21	 7497	  91	42.0	  35.5531	 3.0237
22	 8033	 102	42.0	  35.4990	 2.9610
23	 9096	 111	46.9	  35.4869	 3.1088
24	 9632	 107	48.3	  35.5477	 3.1001
25	10568	  89	42.7	  35.5639	 2.9979
26	11461	  92	45.0	  35.5506	 3.0238
27	11284	  81	44.1	  35.6172	 3.3524
28	12528	  67	46.9	  35.5633	 3.2493
29	13280	  68	44.4	  35.5127	 3.0099
30	13382	  77	36.7	  35.6390	 2.9222
31	13430	  73	39.9	  35.5086	 3.1699
32	13893	  68	43.0	  35.5368	 3.0803
33	14186	  68	40.9	  35.5382	 2.8734
34	14646	  74	35.7	  35.5877	 3.0283
35	14061	  79	36.8	  35.5585	 3.0847
36	14030	  70	45.5	  35.5537	 3.2316
37	16401	  55	49.5	  35.4978	 3.4206
38	16820	  64	46.0	  35.5433	 2.9831
39	17201	  85	46.3	  35.5113	 3.2354
40	16182	  67	43.9	  35.4547	 3.1410
41	17458	  67	43.8	  35.4812	 3.1654
42	17824	  80	43.1	  35.5190	 3.0277
43	17549	  60	49.5	  35.5311	 3.8345
44	19464	  73	44.3	  35.5518	 3.1752
45	19391	  74	43.8	  35.5224	 3.4625
46	19054	  43	49.6	  35.5267	 3.7794
47	20927	  59	44.6	  35.5413	 3.7989
48	19127	  47	39.5	  35.4590	 3.0513
49	21576	  52	35.2	  35.5174	 3.3901
50	20174	  40	42.5	  35.4573	 3.5512
51	19826	  47	41.0	  35.3914	 3.6924
52	21775	  60	31.0	  35.4909	 2.8583
53	22687	  42	33.4	  35.6034	 3.1996
54	23312	  40	28.6	  35.5667	 2.9535
55	19329	  30	25.8	  35.5015	 2.8705
56	19430	  13	36.4	  35.4999	 2.9717
57	    0	   0	 0.0	   0.0000	 0.0000
58	23669	  17	42.7	  35.4498	 3.4895
59	22325	  23	34.7	  35.5004	 3.2539
60	25671	  47	37.6	  35.5106	 3.2546
61	28902	  41	39.0	  35.4963	 3.1161
62	30340	  48	36.9	  35.4796	 3.2242
63	20208	   7	36.6	  35.5075	 3.1250
64	28644	  31	29.4	  35.4493	 3.0991
65	31914	  25	44.5	  35.5306	 3.3756
66	    0	   0	 0.0	   0.0000	 0.0000
67	22976	   5	26.9	  35.4476	 2.8847
68	32516	  23	29.9	  35.4718	 2.9779
69	31797	  32	22.2	  35.5157	 3.2175
70	31310	  19	21.7	  35.4898	 2.9168
71	    0	   0	 0.0	   0.0000	 0.0000
