order	maxcpp	nlines	contrast	RV	sig
-----	------	------	--------	--	---
 0	  467	 106	51.2	  35.5010	 3.2096
 1	  409	 104	45.3	  35.4705	 3.1264
 2	  562	  96	50.2	  35.5005	 2.9032
 3	  691	  96	46.9	  35.7637	 3.1219
 4	  813	 114	47.6	  35.5709	 3.2340
 5	  824	 114	40.7	  35.4017	 3.0038
 6	 1025	 103	44.3	  35.5539	 2.8668
 7	 1118	 114	38.5	  35.4224	 2.7076
 8	 1814	 125	48.6	  35.4599	 2.9838
 9	 2030	 123	49.8	  35.5176	 3.2115
10	 2174	 120	46.1	  35.5889	 2.9267
11	 2457	 112	51.9	  35.5976	 3.1738
12	 2674	 115	47.3	  35.5972	 2.9845
13	 3035	 121	45.4	  35.5614	 2.8695
14	 3118	 115	48.2	  35.5033	 3.1857
15	 3512	 113	50.5	  35.5543	 3.3032
16	 3531	 108	50.7	  35.4806	 3.3942
17	 3951	 100	46.8	  35.3850	 3.9667
18	 3830	 111	47.5	  35.3993	 3.3311
19	 3844	 102	44.2	  35.6534	 2.9292
20	 4814	  88	39.7	  35.5987	 2.8126
21	 5250	  91	42.1	  35.5564	 3.0052
22	 5628	 102	42.1	  35.5203	 2.9499
23	 6407	 111	46.8	  35.4958	 3.1002
24	 6786	 107	48.3	  35.5559	 3.0969
25	 7451	  89	42.6	  35.5847	 3.0088
26	 8059	  92	45.1	  35.5697	 3.0137
27	 7945	  81	44.2	  35.6296	 3.3525
28	 8816	  67	46.8	  35.5550	 3.2502
29	 9346	  68	44.4	  35.5285	 3.0066
30	 9413	  77	36.9	  35.6438	 2.9030
31	 9453	  73	39.9	  35.5208	 3.1755
32	 9744	  68	43.0	  35.5441	 3.0901
33	 9925	  68	40.9	  35.5276	 2.8712
34	10235	  74	35.8	  35.6064	 3.0350
35	 9801	  79	36.8	  35.5625	 3.0830
36	 9782	  70	45.6	  35.5614	 3.2255
37	11453	  55	49.4	  35.4995	 3.4124
38	11688	  64	46.1	  35.5519	 2.9778
39	11980	  85	46.3	  35.5340	 3.2323
40	11210	  67	44.1	  35.4532	 3.1484
41	12119	  67	43.9	  35.4917	 3.1594
42	12343	  80	43.2	  35.5241	 3.0274
43	12143	  60	49.4	  35.5337	 3.8342
44	13476	  73	44.3	  35.5554	 3.1859
45	13418	  74	43.9	  35.5364	 3.4702
46	13294	  43	49.5	  35.5332	 3.7908
47	14534	  59	44.8	  35.5499	 3.7929
48	13312	  47	39.6	  35.4611	 3.0458
49	15099	  52	35.3	  35.5311	 3.3884
50	14093	  40	42.4	  35.4624	 3.5512
51	13840	  47	41.0	  35.3984	 3.7001
52	15254	  60	31.0	  35.5128	 2.8699
53	15887	  42	33.5	  35.6422	 3.2131
54	16333	  40	28.7	  35.5733	 2.9509
55	13518	  30	25.9	  35.5208	 2.8713
56	13670	  13	36.9	  35.5020	 2.9391
57	    0	   0	 0.0	   0.0000	 0.0000
58	16542	  17	42.9	  35.4567	 3.4732
59	15684	  23	34.7	  35.5191	 3.2522
60	18003	  47	37.6	  35.5189	 3.2480
61	20270	  41	39.0	  35.5225	 3.1161
62	21206	  48	36.9	  35.4859	 3.2363
63	14011	   7	36.6	  35.5149	 3.1121
64	19911	  31	29.6	  35.4573	 3.0880
65	22195	  25	44.6	  35.5341	 3.3763
66	    0	   0	 0.0	   0.0000	 0.0000
67	15717	   5	27.3	  35.4627	 2.8533
68	22530	  23	30.0	  35.4788	 2.9517
69	22114	  32	22.1	  35.5276	 3.2370
70	21982	  19	21.4	  35.5292	 2.9156
71	    0	   0	 0.0	   0.0000	 0.0000
