order	maxcpp	nlines	contrast	RV	sig
-----	------	------	--------	--	---
 0	  738	 106	50.9	  35.5230	 3.2478
 1	  640	 104	46.0	  35.4774	 3.0870
 2	  890	  96	49.6	  35.4879	 2.9005
 3	 1083	  96	47.1	  35.7570	 3.1112
 4	 1267	 114	47.5	  35.5645	 3.2507
 5	 1292	 114	40.8	  35.3869	 2.9837
 6	 1611	 103	44.2	  35.5443	 2.8845
 7	 1760	 114	38.8	  35.4088	 2.6926
 8	 2858	 125	48.3	  35.4550	 2.9849
 9	 3186	 123	49.9	  35.5236	 3.2060
10	 3404	 120	46.2	  35.5919	 2.9199
11	 3867	 112	52.0	  35.5901	 3.1479
12	 4201	 115	47.3	  35.5955	 2.9890
13	 4792	 121	45.3	  35.5520	 2.8700
14	 4904	 115	48.3	  35.4956	 3.1733
15	 5550	 113	50.3	  35.5468	 3.3011
16	 5570	 108	50.8	  35.4809	 3.3848
17	 6241	 100	46.9	  35.3690	 3.9358
18	 6038	 111	47.6	  35.4067	 3.3227
19	 6075	 102	44.3	  35.6474	 2.9278
20	 7629	  88	39.6	  35.6005	 2.8233
21	 8292	  91	42.1	  35.5466	 3.0138
22	 8902	 102	42.0	  35.5069	 2.9511
23	10093	 111	46.8	  35.4875	 3.1053
24	10715	 107	48.4	  35.5415	 3.0965
25	11766	  89	42.8	  35.5687	 3.0046
26	12682	  92	45.2	  35.5661	 3.0209
27	12538	  81	44.2	  35.6262	 3.3508
28	13894	  67	46.9	  35.5560	 3.2398
29	14719	  68	44.4	  35.5140	 3.0002
30	14828	  77	36.8	  35.6386	 2.9107
31	14864	  73	39.8	  35.5052	 3.1753
32	15320	  68	42.9	  35.5354	 3.0933
33	15587	  68	41.1	  35.5333	 2.8684
34	16113	  74	35.8	  35.5953	 3.0237
35	15393	  79	36.9	  35.5659	 3.0811
36	15378	  70	45.6	  35.5570	 3.2232
37	18000	  55	49.4	  35.5014	 3.4152
38	18373	  64	46.0	  35.5427	 2.9812
39	18802	  85	46.4	  35.5175	 3.2349
40	17592	  67	44.3	  35.4542	 3.1474
41	19067	  67	43.9	  35.4951	 3.1586
42	19456	  80	43.2	  35.5199	 3.0279
43	19050	  60	49.5	  35.5321	 3.8319
44	21190	  73	44.3	  35.5658	 3.1790
45	21078	  74	44.0	  35.5191	 3.4650
46	20893	  43	49.6	  35.5293	 3.7845
47	22912	  59	44.7	  35.5378	 3.7882
48	20999	  47	39.6	  35.4589	 3.0535
49	23781	  52	35.3	  35.5294	 3.3881
50	22227	  40	42.5	  35.4611	 3.5408
51	21844	  47	41.0	  35.3938	 3.7056
52	24012	  60	31.1	  35.5059	 2.8706
53	25043	  42	33.6	  35.6280	 3.2125
54	25705	  40	28.6	  35.5719	 2.9643
55	21302	  30	25.8	  35.5206	 2.8683
56	21716	  13	36.6	  35.4986	 2.9472
57	    0	   0	 0.0	   0.0000	 0.0000
58	26051	  17	42.5	  35.4449	 3.4837
59	24646	  23	34.7	  35.5223	 3.2550
60	28403	  47	37.5	  35.5154	 3.2565
61	31941	  41	39.0	  35.5097	 3.1181
62	33392	  48	36.9	  35.4781	 3.2223
63	22011	   7	36.6	  35.5234	 3.1053
64	31380	  31	29.5	  35.4492	 3.0970
65	34967	  25	44.6	  35.5369	 3.3840
66	    0	   0	 0.0	   0.0000	 0.0000
67	24937	   5	26.9	  35.4301	 2.8694
68	35546	  23	29.9	  35.4866	 2.9681
69	34885	  32	22.3	  35.5168	 3.2275
70	34677	  19	21.4	  35.4631	 2.9538
71	    0	   0	 0.0	   0.0000	 0.0000
