order	maxcpp	nlines	contrast	RV	sig
-----	------	------	--------	--	---
 0	  319	 106	51.1	  35.5487	 3.2212
 1	  278	 104	45.7	  35.5628	 3.0359
 2	  388	  96	49.8	  35.4439	 2.9054
 3	  482	  96	46.1	  35.7871	 3.1119
 4	  567	 113	47.6	  35.5882	 3.2079
 5	  563	 114	40.7	  35.3818	 3.0003
 6	  719	 103	44.2	  35.5743	 2.9050
 7	  792	 114	38.4	  35.4352	 2.7279
 8	 1274	 125	48.5	  35.4689	 2.9699
 9	 1421	 123	49.8	  35.5237	 3.2062
10	 1528	 120	46.3	  35.6005	 2.9103
11	 1733	 112	51.6	  35.6015	 3.1739
12	 1882	 115	47.3	  35.6059	 2.9908
13	 2129	 121	45.3	  35.5510	 2.8804
14	 2198	 115	48.0	  35.4890	 3.1636
15	 2458	 113	50.2	  35.5462	 3.3144
16	 2463	 108	50.7	  35.4874	 3.3923
17	 2746	 100	46.7	  35.3698	 3.9635
18	 2666	 111	47.2	  35.4068	 3.3374
19	 2642	 102	44.2	  35.6406	 2.9315
20	 3340	  88	39.6	  35.5987	 2.8137
21	 3624	  91	42.1	  35.5597	 3.0152
22	 3875	 102	42.0	  35.4934	 2.9663
23	 4396	 111	46.9	  35.4924	 3.1073
24	 4646	 107	48.1	  35.5533	 3.1142
25	 5093	  89	42.7	  35.5765	 3.0058
26	 5515	  92	45.1	  35.5695	 3.0424
27	 5453	  81	44.0	  35.6224	 3.3544
28	 6048	  67	46.8	  35.5656	 3.2355
29	 6407	  68	44.4	  35.5141	 3.0053
30	 6462	  77	36.7	  35.6372	 2.9019
31	 6507	  73	40.0	  35.5193	 3.1768
32	 6740	  68	43.1	  35.5383	 3.0847
33	 6889	  68	40.7	  35.5413	 2.8675
34	 7128	  74	35.8	  35.6069	 3.0335
35	 6843	  79	36.8	  35.5656	 3.1043
36	 6819	  70	45.6	  35.5618	 3.2236
37	 7967	  55	49.3	  35.5020	 3.4040
38	 8234	  64	46.0	  35.5462	 2.9936
39	 8406	  85	46.3	  35.5159	 3.2430
40	 7883	  67	44.2	  35.4552	 3.1338
41	 8510	  67	43.9	  35.4996	 3.1708
42	 8684	  80	43.2	  35.5191	 3.0304
43	 8601	  60	49.4	  35.5320	 3.8401
44	 9501	  73	44.2	  35.5706	 3.1863
45	 9430	  74	43.9	  35.5283	 3.4557
46	 9273	  43	49.2	  35.5181	 3.8064
47	10133	  59	44.5	  35.5484	 3.7966
48	 9242	  48	39.3	  35.4504	 3.0573
49	10473	  52	35.3	  35.5145	 3.3931
50	 9822	  40	42.5	  35.4600	 3.5578
51	 9613	  47	40.8	  35.3845	 3.6837
52	10534	  60	31.1	  35.4891	 2.8618
53	10931	  42	33.4	  35.6327	 3.2146
54	11269	  40	28.7	  35.5584	 2.9539
55	 9366	  30	25.7	  35.5447	 2.8705
56	 9349	  13	36.2	  35.5066	 2.9662
57	    0	   0	 0.0	   0.0000	 0.0000
58	11515	  17	42.6	  35.4487	 3.4862
59	10847	  23	34.3	  35.5154	 3.2585
60	12445	  47	37.7	  35.5138	 3.2385
61	13944	  41	38.8	  35.5038	 3.1132
62	14687	  48	37.0	  35.4779	 3.2309
63	 9979	   7	36.5	  35.4824	 3.1041
64	13899	  31	29.7	  35.4434	 3.0927
65	15516	  25	44.5	  35.5234	 3.3766
66	    0	   0	 0.0	   0.0000	 0.0000
67	11340	   5	26.8	  35.4993	 2.8596
68	15883	  23	29.7	  35.4800	 2.9842
69	15553	  32	22.3	  35.5368	 3.2039
70	15274	  19	21.4	  35.4791	 2.9664
71	    0	   0	 0.0	   0.0000	 0.0000
