order	maxcpp	nlines	contrast	RV	sig
-----	------	------	--------	--	---
 0	  441	 106	50.3	  35.4913	 3.2645
 1	  381	 104	46.1	  35.4339	 3.1321
 2	  531	  96	49.7	  35.4824	 2.9242
 3	  645	  96	46.9	  35.7480	 3.1084
 4	  770	 113	47.4	  35.6094	 3.2383
 5	  771	 114	41.1	  35.3977	 2.9766
 6	  967	 103	44.3	  35.5566	 2.8848
 7	 1064	 114	38.3	  35.4349	 2.7062
 8	 1718	 125	48.5	  35.4604	 2.9841
 9	 1922	 123	49.7	  35.5232	 3.2159
10	 2065	 120	46.1	  35.5968	 2.9143
11	 2347	 112	51.9	  35.5880	 3.1489
12	 2549	 115	47.2	  35.5947	 2.9946
13	 2911	 121	45.2	  35.5573	 2.8708
14	 2966	 115	48.3	  35.4966	 3.1732
15	 3352	 113	50.2	  35.5511	 3.3022
16	 3360	 108	50.6	  35.4752	 3.3896
17	 3751	 100	46.7	  35.3716	 3.9645
18	 3637	 111	47.3	  35.3951	 3.3393
19	 3643	 102	44.2	  35.6493	 2.9319
20	 4566	  88	39.7	  35.6050	 2.8239
21	 4970	  91	42.0	  35.5515	 3.0089
22	 5314	 102	42.0	  35.5031	 2.9654
23	 6011	 111	46.8	  35.4905	 3.1058
24	 6384	 107	48.4	  35.5434	 3.1085
25	 7013	  89	42.6	  35.5714	 3.0023
26	 7553	  92	45.2	  35.5664	 3.0150
27	 7478	  81	44.2	  35.6290	 3.3410
28	 8268	  67	46.8	  35.5569	 3.2452
29	 8778	  68	44.3	  35.5240	 2.9989
30	 8863	  77	36.6	  35.6376	 2.8979
31	 8862	  73	39.9	  35.5084	 3.1654
32	 9164	  68	43.0	  35.5371	 3.0885
33	 9363	  68	40.9	  35.5341	 2.8679
34	 9671	  74	35.7	  35.5880	 3.0380
35	 9228	  79	36.7	  35.5681	 3.0932
36	 9245	  70	45.6	  35.5630	 3.2306
37	10836	  55	49.4	  35.4951	 3.4173
38	11059	  64	46.0	  35.5496	 2.9848
39	11335	  85	46.4	  35.5110	 3.2346
40	10608	  67	44.2	  35.4424	 3.1655
41	11483	  67	43.9	  35.4854	 3.1566
42	11737	  80	43.1	  35.5132	 3.0292
43	11546	  60	49.4	  35.5360	 3.8343
44	12830	  73	44.3	  35.5578	 3.1806
45	12795	  74	43.8	  35.5294	 3.4662
46	12616	  43	49.6	  35.5295	 3.7987
47	13796	  59	44.7	  35.5345	 3.7969
48	12516	  48	39.4	  35.4539	 3.0497
49	14304	  52	35.3	  35.5306	 3.3861
50	13358	  40	42.4	  35.4647	 3.5464
51	13157	  47	41.1	  35.3964	 3.6905
52	14440	  60	31.2	  35.5148	 2.8570
53	15010	  42	33.8	  35.6285	 3.1957
54	15422	  40	28.7	  35.5716	 2.9514
55	12750	  30	25.8	  35.5119	 2.8584
56	12959	  13	36.3	  35.4965	 2.9490
57	    0	   0	 0.0	   0.0000	 0.0000
58	15580	  17	42.6	  35.4356	 3.4646
59	14806	  23	34.3	  35.4996	 3.2581
60	16995	  47	37.5	  35.5054	 3.2697
61	19120	  41	39.0	  35.5083	 3.1095
62	20125	  48	36.9	  35.4791	 3.2349
63	13278	   7	36.6	  35.5274	 3.1001
64	18903	  31	29.8	  35.4599	 3.0760
65	21218	  25	44.5	  35.5312	 3.3842
66	    0	   0	 0.0	   0.0000	 0.0000
67	15082	   5	26.7	  35.3823	 2.9287
68	21628	  23	29.9	  35.4737	 2.9499
69	21098	  32	22.2	  35.5046	 3.2226
70	20878	  19	21.7	  35.4378	 2.9115
71	    0	   0	 0.0	   0.0000	 0.0000
