order	maxcpp	nlines	contrast	RV	sig
-----	------	------	--------	--	---
 0	  252	 106	49.5	  35.5125	 3.2423
 1	  217	 104	45.0	  35.4455	 3.0822
 2	  304	  96	48.6	  35.4626	 2.9475
 3	  369	  96	46.8	  35.7738	 3.1461
 4	  435	 114	47.5	  35.5697	 3.2234
 5	  443	 114	41.1	  35.4139	 2.9492
 6	  555	 103	44.5	  35.5187	 2.8934
 7	  608	 114	38.9	  35.4006	 2.6870
 8	  989	 125	48.6	  35.4831	 2.9545
 9	 1105	 123	49.5	  35.5320	 3.2204
10	 1187	 120	46.2	  35.5687	 2.9478
11	 1342	 112	52.1	  35.5996	 3.1513
12	 1465	 115	47.1	  35.5745	 2.9807
13	 1653	 121	45.4	  35.5560	 2.8864
14	 1692	 115	48.2	  35.4959	 3.1731
15	 1904	 113	50.2	  35.5367	 3.3043
16	 1904	 108	51.0	  35.4906	 3.3907
17	 2144	 100	46.6	  35.3837	 3.9591
18	 2059	 111	47.6	  35.3862	 3.3225
19	 2076	 102	44.2	  35.6469	 2.9338
20	 2586	  88	39.7	  35.6022	 2.8205
21	 2815	  91	42.2	  35.5400	 2.9994
22	 3025	 102	41.9	  35.5040	 2.9547
23	 3414	 111	46.9	  35.4913	 3.1070
24	 3630	 107	48.3	  35.5422	 3.1049
25	 3973	  89	42.8	  35.5671	 3.0050
26	 4296	  92	45.1	  35.5684	 3.0280
27	 4250	  81	44.0	  35.6238	 3.3444
28	 4709	  67	46.9	  35.5576	 3.2599
29	 4994	  68	44.5	  35.5221	 3.0074
30	 5045	  77	36.6	  35.6460	 2.9062
31	 5052	  73	39.9	  35.5189	 3.1807
32	 5240	  68	43.0	  35.5290	 3.0966
33	 5342	  68	41.2	  35.5371	 2.8831
34	 5540	  74	35.7	  35.5874	 3.0336
35	 5294	  79	36.8	  35.5614	 3.0807
36	 5289	  70	45.7	  35.5550	 3.2269
37	 6238	  55	49.3	  35.4957	 3.4178
38	 6343	  64	45.8	  35.5393	 2.9946
39	 6506	  85	46.3	  35.5246	 3.2381
40	 6100	  67	44.1	  35.4535	 3.1514
41	 6612	  67	43.7	  35.4813	 3.1655
42	 6712	  80	43.2	  35.5194	 3.0324
43	 6600	  60	49.5	  35.5383	 3.8274
44	 7325	  73	44.4	  35.5596	 3.1765
45	 7293	  74	44.0	  35.5228	 3.4680
46	 7208	  43	49.6	  35.5237	 3.7919
47	 7913	  59	44.5	  35.5308	 3.7949
48	 7200	  47	39.5	  35.4549	 3.0612
49	 8160	  52	35.3	  35.5125	 3.3717
50	 7624	  40	42.2	  35.4590	 3.5558
51	 7472	  47	41.0	  35.4067	 3.7066
52	 8197	  60	31.0	  35.4889	 2.8710
53	 8555	  42	33.7	  35.6250	 3.2179
54	 8776	  40	28.7	  35.5641	 2.9670
55	 7252	  30	25.7	  35.5044	 2.8583
56	 7351	  13	36.6	  35.5323	 2.9683
57	    0	   0	 0.0	   0.0000	 0.0000
58	 8828	  17	42.3	  35.4570	 3.5219
59	 8404	  23	34.3	  35.5237	 3.2855
60	 9656	  47	37.5	  35.5024	 3.2501
61	10887	  41	38.8	  35.5334	 3.1346
62	11422	  48	36.8	  35.4823	 3.2214
63	 7600	   7	35.9	  35.5526	 3.1067
64	10788	  31	29.7	  35.4502	 3.0715
65	12088	  25	44.6	  35.5396	 3.3756
66	    0	   0	 0.0	   0.0000	 0.0000
67	 8631	   5	26.9	  35.4690	 2.8877
68	12295	  23	30.0	  35.4813	 2.9500
69	12007	  32	22.2	  35.4996	 3.1990
70	11951	  19	21.6	  35.4584	 2.9205
71	    0	   0	 0.0	   0.0000	 0.0000
