order	maxcpp	nlines	contrast	RV	sig
-----	------	------	--------	--	---
 0	  370	 106	50.3	  35.5345	 3.2431
 1	  322	 104	45.9	  35.4610	 3.1242
 2	  448	  96	49.8	  35.4707	 2.9329
 3	  555	  96	46.5	  35.7680	 3.1170
 4	  654	 113	47.4	  35.5948	 3.2326
 5	  645	 114	41.0	  35.4142	 2.9985
 6	  816	 103	44.4	  35.5700	 2.8481
 7	  892	 114	38.6	  35.4576	 2.7114
 8	 1439	 125	48.6	  35.4624	 2.9770
 9	 1606	 123	49.7	  35.5389	 3.2266
10	 1727	 120	46.3	  35.6027	 2.9083
11	 1954	 112	51.8	  35.6072	 3.1439
12	 2127	 115	47.3	  35.5908	 2.9840
13	 2415	 121	45.3	  35.5529	 2.8592
14	 2480	 115	48.3	  35.5079	 3.1790
15	 2787	 113	50.3	  35.5613	 3.3023
16	 2812	 108	50.5	  35.4823	 3.3829
17	 3132	 100	46.7	  35.3791	 3.9433
18	 3045	 111	47.4	  35.4178	 3.3334
19	 3045	 102	44.3	  35.6453	 2.9186
20	 3834	  88	39.6	  35.6100	 2.8229
21	 4149	  91	42.4	  35.5652	 3.0150
22	 4468	 102	41.9	  35.5345	 2.9505
23	 5071	 111	46.8	  35.5055	 3.1088
24	 5365	 107	48.3	  35.5518	 3.1041
25	 5893	  89	42.7	  35.5791	 3.0080
26	 6375	  92	45.3	  35.5821	 3.0192
27	 6298	  81	44.1	  35.6335	 3.3632
28	 6988	  67	46.8	  35.5672	 3.2452
29	 7394	  68	44.4	  35.5226	 3.0127
30	 7482	  77	36.6	  35.6539	 2.9178
31	 7468	  73	39.9	  35.5176	 3.1721
32	 7731	  68	43.1	  35.5419	 3.0900
33	 7878	  68	40.9	  35.5433	 2.8598
34	 8139	  74	35.7	  35.6077	 3.0212
35	 7773	  79	37.1	  35.5672	 3.0761
36	 7761	  70	45.8	  35.5515	 3.2076
37	 9060	  55	49.4	  35.5115	 3.4160
38	 9322	  64	46.0	  35.5565	 2.9801
39	 9523	  85	46.4	  35.5227	 3.2302
40	 8919	  67	44.1	  35.4586	 3.1477
41	 9627	  67	43.8	  35.5040	 3.1612
42	 9841	  80	43.0	  35.5243	 3.0356
43	 9670	  60	49.5	  35.5489	 3.8385
44	10692	  73	44.4	  35.5760	 3.1688
45	10650	  74	43.8	  35.5357	 3.4690
46	10527	  43	49.6	  35.5375	 3.7926
47	11547	  59	44.6	  35.5553	 3.7863
48	10587	  47	39.5	  35.4722	 3.0517
49	11955	  52	35.3	  35.5476	 3.3851
50	11204	  40	42.4	  35.4683	 3.5556
51	10973	  47	41.0	  35.3934	 3.6884
52	12076	  60	31.3	  35.5015	 2.8484
53	12549	  42	33.4	  35.6313	 3.2041
54	12954	  40	28.6	  35.5963	 2.9558
55	10716	  30	26.0	  35.5479	 2.8599
56	10750	  13	36.9	  35.5196	 2.9286
57	    0	   0	 0.0	   0.0000	 0.0000
58	13158	  17	42.7	  35.4776	 3.4552
59	12424	  23	34.4	  35.5217	 3.2510
60	14270	  47	37.5	  35.5133	 3.2593
61	16017	  41	38.9	  35.5171	 3.1111
62	16801	  48	36.9	  35.4799	 3.2103
63	11245	   7	36.6	  35.5517	 3.0967
64	15800	  31	29.7	  35.4715	 3.0879
65	17623	  25	44.6	  35.5393	 3.3686
66	    0	   0	 0.0	   0.0000	 0.0000
67	12770	   5	26.7	  35.4634	 2.9164
68	17960	  23	30.0	  35.5032	 2.9432
69	17580	  32	22.2	  35.5117	 3.2379
70	17359	  19	21.5	  35.4360	 2.9635
71	    0	   0	 0.0	   0.0000	 0.0000
