order	maxcpp	nlines	contrast	RV	sig
-----	------	------	--------	--	---
 0	  687	 106	50.3	  35.5156	 3.2437
 1	  593	 104	46.3	  35.4488	 3.0879
 2	  822	  96	49.6	  35.4906	 2.8866
 3	 1008	  96	46.6	  35.7722	 3.0975
 4	 1182	 114	47.2	  35.5695	 3.2815
 5	 1204	 114	40.9	  35.4284	 2.9812
 6	 1505	 103	44.1	  35.5297	 2.8854
 7	 1645	 114	38.7	  35.4512	 2.7079
 8	 2681	 125	48.5	  35.4697	 2.9791
 9	 2993	 123	49.7	  35.5309	 3.2167
10	 3201	 120	46.3	  35.5946	 2.9188
11	 3635	 112	52.1	  35.6051	 3.1572
12	 3954	 115	47.3	  35.5969	 2.9893
13	 4510	 121	45.2	  35.5586	 2.8744
14	 4602	 115	48.3	  35.4962	 3.1732
15	 5197	 113	50.3	  35.5505	 3.2930
16	 5204	 108	50.7	  35.4928	 3.3890
17	 5827	 100	46.8	  35.3816	 3.9595
18	 5633	 111	47.3	  35.4094	 3.3382
19	 5685	 102	44.1	  35.6396	 2.9329
20	 7056	  88	39.7	  35.6031	 2.8150
21	 7680	  91	42.0	  35.5442	 3.0155
22	 8218	 102	42.1	  35.5105	 2.9528
23	 9322	 111	46.8	  35.5018	 3.1064
24	 9889	 107	48.3	  35.5463	 3.1038
25	10851	  89	42.7	  35.5682	 2.9950
26	11728	  92	45.1	  35.5681	 3.0185
27	11593	  81	44.1	  35.6279	 3.3442
28	12812	  67	47.1	  35.5588	 3.2414
29	13631	  68	44.2	  35.5232	 3.0069
30	13723	  77	36.8	  35.6468	 2.9204
31	13765	  73	39.9	  35.5156	 3.1591
32	14190	  68	43.0	  35.5375	 3.0802
33	14530	  68	40.9	  35.5342	 2.8756
34	15020	  74	35.7	  35.5940	 3.0211
35	14362	  79	36.8	  35.5523	 3.0856
36	14383	  70	45.6	  35.5572	 3.2276
37	16827	  55	49.5	  35.4979	 3.4189
38	17198	  64	46.0	  35.5554	 2.9822
39	17680	  85	46.3	  35.5214	 3.2320
40	16503	  67	44.2	  35.4521	 3.1505
41	17936	  67	43.7	  35.4840	 3.1645
42	18188	  80	43.2	  35.5155	 3.0307
43	17925	  60	49.4	  35.5359	 3.8540
44	19895	  73	44.4	  35.5554	 3.1812
45	19830	  74	43.9	  35.5275	 3.4633
46	19593	  43	49.6	  35.5335	 3.7947
47	21465	  59	44.7	  35.5331	 3.7912
48	19480	  48	39.4	  35.4414	 3.0445
49	22202	  52	35.3	  35.5197	 3.3799
50	20726	  40	42.3	  35.4650	 3.5540
51	20331	  47	41.0	  35.3905	 3.7067
52	22363	  60	31.1	  35.4892	 2.8539
53	23327	  42	33.3	  35.6150	 3.2133
54	23943	  40	28.7	  35.5687	 2.9594
55	19778	  30	25.7	  35.5409	 2.8811
56	20190	  13	36.6	  35.5190	 2.9582
57	    0	   0	 0.0	   0.0000	 0.0000
58	24011	  17	42.7	  35.4463	 3.4769
59	22822	  23	34.5	  35.5197	 3.2494
60	26242	  47	37.5	  35.4928	 3.2648
61	29657	  41	38.8	  35.5532	 3.1158
62	31046	  48	36.9	  35.4914	 3.2267
63	20501	   7	36.8	  35.5292	 3.1244
64	29282	  31	29.6	  35.4589	 3.0864
65	32836	  25	44.6	  35.5330	 3.3823
66	    0	   0	 0.0	   0.0000	 0.0000
67	23274	   5	26.9	  35.4344	 2.8429
68	33380	  23	29.8	  35.4569	 2.9637
69	32594	  32	22.2	  35.5107	 3.2245
70	32422	  19	21.5	  35.4759	 2.9475
71	    0	   0	 0.0	   0.0000	 0.0000
