order	maxcpp	nlines	contrast	RV	sig
-----	------	------	--------	--	---
 0	  559	 106	50.3	  35.5589	 3.2445
 1	  487	 104	46.0	  35.4732	 3.1086
 2	  674	  96	50.2	  35.5222	 2.9201
 3	  829	  96	46.7	  35.7683	 3.1077
 4	  970	 114	47.7	  35.5758	 3.2335
 5	  979	 114	40.9	  35.3874	 3.0032
 6	 1237	 103	44.2	  35.5624	 2.8791
 7	 1348	 114	38.6	  35.4551	 2.7031
 8	 2181	 125	48.5	  35.4774	 2.9775
 9	 2434	 123	49.5	  35.5354	 3.2303
10	 2611	 120	46.1	  35.6000	 2.9241
11	 2950	 112	51.8	  35.6052	 3.1601
12	 3219	 115	47.0	  35.6060	 2.9981
13	 3657	 121	45.1	  35.5556	 2.8825
14	 3728	 115	48.4	  35.4971	 3.1774
15	 4202	 113	50.4	  35.5556	 3.2964
16	 4227	 108	50.7	  35.4873	 3.3931
17	 4726	 100	46.7	  35.3786	 3.9487
18	 4593	 111	47.2	  35.4072	 3.3468
19	 4575	 102	44.1	  35.6555	 2.9348
20	 5768	  88	39.6	  35.6039	 2.8238
21	 6275	  91	42.1	  35.5576	 3.0139
22	 6736	 102	41.9	  35.5169	 2.9569
23	 7639	 111	46.9	  35.5008	 3.1119
24	 8066	 107	48.3	  35.5692	 3.0939
25	 8860	  89	42.7	  35.5868	 2.9965
26	 9605	  92	45.1	  35.5774	 3.0218
27	 9486	  81	44.1	  35.6410	 3.3520
28	10522	  67	46.8	  35.5613	 3.2577
29	11165	  68	44.2	  35.5322	 3.0009
30	11274	  77	36.5	  35.6623	 2.9206
31	11294	  73	39.8	  35.5141	 3.1752
32	11679	  68	43.0	  35.5437	 3.0834
33	11892	  68	40.8	  35.5423	 2.8668
34	12309	  74	35.6	  35.6011	 3.0316
35	11774	  79	36.8	  35.5632	 3.0933
36	11760	  70	45.5	  35.5574	 3.2223
37	13692	  55	49.6	  35.5132	 3.4110
38	14112	  64	45.9	  35.5584	 2.9868
39	14398	  85	46.4	  35.5255	 3.2314
40	13534	  67	44.1	  35.4679	 3.1534
41	14592	  67	43.8	  35.4993	 3.1673
42	14904	  80	43.0	  35.5226	 3.0364
43	14670	  60	49.3	  35.5448	 3.8465
44	16222	  73	44.2	  35.5607	 3.1784
45	16137	  74	43.8	  35.5312	 3.4636
46	15884	  43	49.5	  35.5354	 3.7953
47	17366	  59	44.7	  35.5553	 3.8056
48	15971	  47	39.5	  35.4684	 3.0489
49	17991	  52	35.3	  35.5375	 3.4104
50	16914	  40	42.3	  35.4754	 3.5679
51	16531	  47	40.8	  35.4012	 3.6874
52	18204	  60	31.0	  35.5065	 2.8666
53	18912	  42	33.6	  35.6265	 3.2053
54	19526	  40	28.5	  35.5663	 2.9427
55	16148	  30	26.0	  35.5288	 2.8745
56	16109	  13	36.7	  35.4955	 2.9499
57	    0	   0	 0.0	   0.0000	 0.0000
58	19887	  17	42.7	  35.4668	 3.4808
59	18712	  23	34.6	  35.5421	 3.2453
60	21536	  47	37.5	  35.5131	 3.2593
61	24139	  41	38.8	  35.5286	 3.1197
62	25357	  48	37.0	  35.4813	 3.2252
63	17033	   7	36.7	  35.5518	 3.0892
64	23916	  31	29.6	  35.4787	 3.0933
65	26523	  25	44.6	  35.5280	 3.3740
66	    0	   0	 0.0	   0.0000	 0.0000
67	19162	   5	26.8	  35.4531	 2.8907
68	27166	  23	30.0	  35.4849	 2.9564
69	26506	  32	22.1	  35.5022	 3.2333
70	26097	  19	21.6	  35.4733	 2.9527
71	    0	   0	 0.0	   0.0000	 0.0000
