order	maxcpp	nlines	contrast	RV	sig
-----	------	------	--------	--	---
 0	  452	 106	50.7	  35.5575	 3.2309
 1	  391	 104	45.6	  35.4400	 3.1167
 2	  545	  96	49.8	  35.5260	 2.9072
 3	  671	  96	46.5	  35.7776	 3.1160
 4	  782	 114	47.6	  35.5956	 3.2624
 5	  796	 114	41.0	  35.4044	 2.9515
 6	  993	 103	44.5	  35.5600	 2.8611
 7	 1090	 114	38.4	  35.4525	 2.7246
 8	 1756	 125	48.5	  35.4660	 2.9747
 9	 1960	 123	49.9	  35.5240	 3.2078
10	 2103	 120	46.2	  35.5996	 2.9146
11	 2384	 112	51.8	  35.5921	 3.1541
12	 2588	 115	47.4	  35.6055	 2.9811
13	 2948	 121	45.1	  35.5611	 2.8764
14	 3024	 115	48.2	  35.4955	 3.1785
15	 3406	 113	50.3	  35.5501	 3.2965
16	 3416	 108	50.8	  35.4791	 3.3859
17	 3813	 100	46.8	  35.3921	 3.9717
18	 3705	 111	47.4	  35.4081	 3.3390
19	 3715	 102	44.2	  35.6556	 2.9295
20	 4662	  88	39.8	  35.6064	 2.8030
21	 5071	  91	42.1	  35.5507	 3.0106
22	 5436	 102	42.1	  35.5168	 2.9565
23	 6193	 111	46.7	  35.4937	 3.1044
24	 6555	 107	48.3	  35.5604	 3.1030
25	 7196	  89	42.7	  35.5784	 3.0059
26	 7796	  92	45.1	  35.5692	 3.0065
27	 7703	  81	44.0	  35.6389	 3.3502
28	 8520	  67	46.9	  35.5486	 3.2534
29	 9032	  68	44.4	  35.5350	 3.0092
30	 9118	  77	36.7	  35.6569	 2.9082
31	 9138	  73	39.9	  35.5200	 3.1750
32	 9415	  68	43.0	  35.5426	 3.0911
33	 9617	  68	40.9	  35.5326	 2.8606
34	 9934	  74	35.7	  35.6041	 3.0318
35	 9487	  79	36.8	  35.5695	 3.0793
36	 9479	  70	45.6	  35.5584	 3.2134
37	11111	  55	49.4	  35.5002	 3.4144
38	11327	  64	46.0	  35.5496	 2.9866
39	11614	  85	46.3	  35.5234	 3.2346
40	10856	  67	44.3	  35.4689	 3.1314
41	11748	  67	43.8	  35.4952	 3.1614
42	11957	  80	43.3	  35.5195	 3.0257
43	11758	  60	49.5	  35.5289	 3.8362
44	13069	  73	44.3	  35.5557	 3.1724
45	12987	  74	44.0	  35.5283	 3.4563
46	12844	  43	49.7	  35.5205	 3.7814
47	14078	  59	44.7	  35.5470	 3.8038
48	12896	  47	39.5	  35.4635	 3.0460
49	14591	  52	35.4	  35.5306	 3.3817
50	13635	  40	42.6	  35.4671	 3.5379
51	13392	  47	41.0	  35.4003	 3.6892
52	14705	  60	31.0	  35.5077	 2.8731
53	15347	  42	33.5	  35.6280	 3.2100
54	15759	  40	28.7	  35.5715	 2.9579
55	13071	  30	25.8	  35.5347	 2.8583
56	13331	  13	36.3	  35.5460	 2.9589
57	    0	   0	 0.0	   0.0000	 0.0000
58	15952	  17	42.8	  35.4475	 3.4550
59	15140	  23	34.4	  35.5285	 3.2670
60	17390	  47	37.6	  35.5179	 3.2539
61	19581	  41	39.0	  35.5139	 3.1162
62	20529	  48	37.0	  35.4987	 3.2258
63	13552	   7	36.6	  35.5516	 3.1438
64	19283	  31	29.8	  35.4566	 3.0785
65	21520	  25	44.6	  35.5354	 3.3667
66	    0	   0	 0.0	   0.0000	 0.0000
67	15367	   5	26.9	  35.4719	 2.8275
68	21996	  23	29.8	  35.5189	 2.9419
69	21426	  32	22.3	  35.5266	 3.2209
70	21258	  19	21.7	  35.4660	 2.9261
71	    0	   0	 0.0	   0.0000	 0.0000
