order	maxcpp	nlines	contrast	RV	sig
-----	------	------	--------	--	---
 0	  373	 106	49.9	  35.5077	 3.2223
 1	  322	 104	44.9	  35.4905	 3.0913
 2	  448	  96	49.5	  35.4790	 2.9245
 3	  553	  96	46.5	  35.7488	 3.1258
 4	  655	 113	47.6	  35.5923	 3.1990
 5	  652	 114	40.9	  35.3509	 2.9544
 6	  827	 103	44.2	  35.5492	 2.8893
 7	  911	 114	38.5	  35.4358	 2.7003
 8	 1461	 125	48.6	  35.4631	 2.9861
 9	 1627	 123	49.8	  35.5028	 3.2310
10	 1760	 120	46.0	  35.5932	 2.9138
11	 1976	 112	52.1	  35.5756	 3.1656
12	 2170	 115	47.2	  35.5901	 2.9881
13	 2457	 121	45.2	  35.5436	 2.8817
14	 2519	 115	48.4	  35.4760	 3.1672
15	 2827	 113	50.4	  35.5362	 3.3006
16	 2842	 108	50.5	  35.4763	 3.4011
17	 3162	 100	46.8	  35.3738	 3.9705
18	 3067	 111	47.5	  35.3997	 3.3399
19	 3057	 102	44.2	  35.6361	 2.9286
20	 3842	  88	39.8	  35.6164	 2.8133
21	 4190	  91	42.1	  35.5554	 3.0173
22	 4472	 102	42.0	  35.4993	 2.9531
23	 5076	 111	47.0	  35.4831	 3.1069
24	 5366	 107	48.3	  35.5390	 3.1056
25	 5878	  89	42.8	  35.5703	 2.9995
26	 6386	  92	45.1	  35.5569	 3.0157
27	 6291	  81	44.2	  35.6295	 3.3569
28	 6984	  67	46.8	  35.5421	 3.2387
29	 7426	  68	44.2	  35.5166	 3.0141
30	 7446	  77	36.8	  35.6388	 2.9159
31	 7513	  73	39.9	  35.4976	 3.1715
32	 7766	  68	43.0	  35.5227	 3.0879
33	 7915	  68	40.9	  35.5255	 2.8678
34	 8194	  74	35.9	  35.5758	 3.0375
35	 7856	  79	36.8	  35.5425	 3.0856
36	 7843	  70	45.5	  35.5422	 3.2302
37	 9152	  55	49.4	  35.4893	 3.4272
38	 9447	  64	45.9	  35.5441	 2.9873
39	 9653	  85	46.3	  35.5069	 3.2413
40	 9033	  67	44.1	  35.4406	 3.1488
41	 9769	  67	43.8	  35.4878	 3.1762
42	 9976	  80	43.1	  35.5116	 3.0339
43	 9817	  60	49.6	  35.5226	 3.8284
44	10850	  73	44.4	  35.5496	 3.1751
45	10799	  74	43.9	  35.5191	 3.4645
46	10698	  43	49.5	  35.5203	 3.7977
47	11668	  59	44.8	  35.5259	 3.7873
48	10661	  48	39.2	  35.4500	 3.0483
49	12081	  52	35.3	  35.5195	 3.3919
50	11334	  40	42.4	  35.4617	 3.5686
51	11079	  47	40.8	  35.3932	 3.6811
52	12158	  60	31.1	  35.4923	 2.8707
53	12611	  42	33.5	  35.6034	 3.2093
54	13037	  40	28.6	  35.5641	 2.9611
55	10802	  30	25.9	  35.5206	 2.8523
56	10756	  13	36.6	  35.5149	 2.9444
57	    0	   0	 0.0	   0.0000	 0.0000
58	13252	  17	42.8	  35.4475	 3.4654
59	12491	  23	34.5	  35.5091	 3.2464
60	14331	  47	37.6	  35.5087	 3.2526
61	16086	  41	38.8	  35.5052	 3.1114
62	16931	  48	36.8	  35.4700	 3.2330
63	11434	   7	36.7	  35.5339	 3.0704
64	15978	  31	29.7	  35.4458	 3.0946
65	17789	  25	44.6	  35.5077	 3.3627
66	    0	   0	 0.0	   0.0000	 0.0000
67	13000	   5	27.2	  35.4486	 2.8760
68	18261	  23	29.9	  35.4806	 2.9446
69	17874	  32	22.3	  35.5022	 3.1898
70	17561	  19	21.6	  35.4671	 2.9364
71	    0	   0	 0.0	   0.0000	 0.0000
