order	maxcpp	nlines	contrast	RV	sig
-----	------	------	--------	--	---
 0	  598	 106	50.3	  35.5172	 3.2364
 1	  521	 104	45.6	  35.5029	 3.1176
 2	  723	  96	49.3	  35.4976	 2.9374
 3	  883	  96	46.5	  35.7724	 3.1333
 4	 1039	 114	47.5	  35.5923	 3.2248
 5	 1057	 114	40.9	  35.4030	 2.9783
 6	 1328	 103	44.2	  35.5573	 2.8976
 7	 1447	 114	38.8	  35.4279	 2.7073
 8	 2358	 125	48.4	  35.4580	 2.9776
 9	 2631	 123	49.7	  35.5240	 3.2229
10	 2823	 120	46.0	  35.5930	 2.9178
11	 3202	 112	51.8	  35.5998	 3.1539
12	 3489	 115	47.1	  35.6012	 2.9972
13	 3961	 121	45.2	  35.5680	 2.8666
14	 4040	 115	48.3	  35.5047	 3.1703
15	 4558	 113	50.3	  35.5517	 3.3129
16	 4568	 108	50.7	  35.4822	 3.3898
17	 5115	 100	46.9	  35.3952	 3.9391
18	 4934	 111	47.4	  35.4074	 3.3264
19	 4981	 102	44.1	  35.6535	 2.9321
20	 6199	  88	39.7	  35.6306	 2.8115
21	 6728	  91	42.2	  35.5586	 3.0122
22	 7209	 102	42.1	  35.5203	 2.9531
23	 8182	 111	46.7	  35.4936	 3.1029
24	 8692	 107	48.2	  35.5543	 3.0998
25	 9517	  89	42.8	  35.5784	 2.9954
26	10294	  92	45.0	  35.5752	 3.0214
27	10163	  81	44.2	  35.6248	 3.3273
28	11274	  67	46.8	  35.5664	 3.2494
29	11927	  68	44.4	  35.5245	 3.0093
30	12048	  77	36.8	  35.6525	 2.9127
31	12083	  73	39.9	  35.5142	 3.1733
32	12503	  68	42.9	  35.5445	 3.0867
33	12766	  68	40.9	  35.5393	 2.8718
34	13190	  74	35.7	  35.6008	 3.0357
35	12610	  79	36.8	  35.5637	 3.0773
36	12644	  70	45.6	  35.5499	 3.2218
37	14822	  55	49.4	  35.5153	 3.4178
38	15108	  64	45.9	  35.5492	 2.9886
39	15474	  85	46.4	  35.5226	 3.2303
40	14510	  67	44.1	  35.4561	 3.1495
41	15738	  67	43.7	  35.5005	 3.1579
42	15998	  80	43.1	  35.5273	 3.0319
43	15739	  60	49.3	  35.5445	 3.8382
44	17475	  73	44.3	  35.5621	 3.1869
45	17403	  74	43.9	  35.5347	 3.4607
46	17206	  43	49.6	  35.5408	 3.7899
47	18820	  59	44.7	  35.5470	 3.7995
48	17228	  47	39.5	  35.4713	 3.0490
49	19451	  52	35.3	  35.5231	 3.3774
50	18156	  40	42.5	  35.4641	 3.5508
51	17853	  47	41.0	  35.3852	 3.7010
52	19587	  60	31.1	  35.5015	 2.8647
53	20529	  42	33.4	  35.6335	 3.2120
54	20971	  40	28.6	  35.5716	 2.9696
55	17378	  30	25.8	  35.5190	 2.8797
56	17667	  13	36.6	  35.5041	 2.9562
57	    0	   0	 0.0	   0.0000	 0.0000
58	21028	  17	42.6	  35.4459	 3.4676
59	20047	  23	34.5	  35.5032	 3.2489
60	23042	  47	37.5	  35.4982	 3.2532
61	26013	  41	39.0	  35.5305	 3.1288
62	27249	  48	36.8	  35.4647	 3.2314
63	18017	   7	36.5	  35.5167	 3.1486
64	25752	  31	29.6	  35.4628	 3.1075
65	28936	  25	44.3	  35.5245	 3.3802
66	    0	   0	 0.0	   0.0000	 0.0000
67	20474	   5	26.8	  35.5349	 2.8976
68	29368	  23	29.9	  35.4811	 2.9494
69	28657	  32	22.3	  35.5235	 3.1986
70	28427	  19	21.5	  35.4247	 2.9590
71	    0	   0	 0.0	   0.0000	 0.0000
