order	maxcpp	nlines	contrast	RV	sig
-----	------	------	--------	--	---
 0	  902	 106	51.1	  35.5190	 3.2618
 1	  785	 104	45.9	  35.4603	 3.1020
 2	 1097	  96	49.9	  35.4910	 2.8984
 3	 1342	  96	46.8	  35.7691	 3.1202
 4	 1596	 113	47.6	  35.5837	 3.2289
 5	 1603	 114	41.0	  35.3863	 2.9737
 6	 2012	 103	44.3	  35.5328	 2.8844
 7	 2215	 114	38.3	  35.4337	 2.7223
 8	 3595	 125	48.4	  35.4571	 2.9787
 9	 4017	 123	49.6	  35.5129	 3.2262
10	 4288	 120	46.1	  35.5822	 2.9211
11	 4871	 112	52.0	  35.5791	 3.1546
12	 5292	 115	47.2	  35.5904	 2.9976
13	 6028	 121	45.4	  35.5469	 2.8676
14	 6159	 115	48.3	  35.4786	 3.1740
15	 6932	 113	50.5	  35.5284	 3.2957
16	 6957	 108	50.7	  35.4773	 3.3926
17	 7769	 100	47.0	  35.3606	 3.9442
18	 7508	 111	47.5	  35.3927	 3.3405
19	 7543	 102	44.4	  35.6271	 2.9281
20	 9420	  88	39.7	  35.5882	 2.8139
21	10237	  91	42.1	  35.5482	 3.0223
22	10972	 102	42.1	  35.5062	 2.9485
23	12421	 111	46.8	  35.4757	 3.1062
24	13197	 107	48.3	  35.5350	 3.1067
25	14471	  89	42.6	  35.5567	 3.0088
26	15602	  92	45.2	  35.5510	 3.0178
27	15437	  81	44.1	  35.6108	 3.3555
28	17103	  67	46.9	  35.5410	 3.2442
29	18127	  68	44.4	  35.5025	 3.0036
30	18290	  77	36.8	  35.6367	 2.9164
31	18356	  73	39.9	  35.4960	 3.1763
32	18988	  68	43.0	  35.5241	 3.0843
33	19403	  68	41.0	  35.5209	 2.8703
34	20047	  74	35.7	  35.5869	 3.0269
35	19205	  79	36.9	  35.5553	 3.0776
36	19216	  70	45.6	  35.5419	 3.2227
37	22507	  55	49.4	  35.4889	 3.4100
38	22971	  64	46.1	  35.5445	 2.9874
39	23608	  85	46.3	  35.5082	 3.2358
40	22105	  67	44.1	  35.4453	 3.1445
41	23949	  67	43.7	  35.4698	 3.1750
42	24380	  80	43.2	  35.5061	 3.0264
43	24047	  60	49.4	  35.5257	 3.8432
44	26624	  73	44.3	  35.5390	 3.1851
45	26517	  74	43.9	  35.5064	 3.4672
46	26225	  43	49.6	  35.5175	 3.7940
47	28664	  59	44.7	  35.5304	 3.7930
48	25976	  48	39.4	  35.4370	 3.0534
49	29663	  52	35.3	  35.5034	 3.3877
50	27691	  40	42.4	  35.4500	 3.5677
51	27171	  47	41.0	  35.3725	 3.6950
52	29799	  60	31.1	  35.4764	 2.8625
53	31079	  42	33.5	  35.6228	 3.2222
54	31821	  40	28.6	  35.5491	 2.9711
55	26318	  30	25.7	  35.4998	 2.8574
56	26838	  13	36.5	  35.4775	 2.9488
57	    0	   0	 0.0	   0.0000	 0.0000
58	32033	  17	42.7	  35.4379	 3.4694
59	30348	  23	34.5	  35.5176	 3.2604
60	34976	  47	37.5	  35.5013	 3.2625
61	39510	  41	39.0	  35.4953	 3.1138
62	41432	  48	36.9	  35.4699	 3.2177
63	27481	   7	36.6	  35.5194	 3.1264
64	39154	  31	29.6	  35.4663	 3.0920
65	43943	  25	44.7	  35.5157	 3.3729
66	    0	   0	 0.0	   0.0000	 0.0000
67	31316	   5	26.5	  35.4144	 2.8839
68	44867	  23	29.8	  35.4357	 2.9594
69	43754	  32	22.2	  35.5080	 3.2310
70	43280	  19	21.7	  35.4581	 2.9733
71	    0	   0	 0.0	   0.0000	 0.0000
