order	maxcpp	nlines	contrast	RV	sig
-----	------	------	--------	--	---
 0	  624	 106	50.3	  35.5336	 3.2573
 1	  538	 104	45.4	  35.4356	 3.0907
 2	  761	  96	49.2	  35.4704	 2.9281
 3	  938	  96	46.4	  35.7782	 3.1096
 4	 1093	 114	47.3	  35.5701	 3.2411
 5	 1098	 114	40.9	  35.4277	 2.9913
 6	 1397	 103	44.3	  35.5635	 2.8810
 7	 1538	 114	38.3	  35.4456	 2.7108
 8	 2488	 125	48.5	  35.4697	 2.9801
 9	 2773	 123	49.6	  35.5157	 3.2101
10	 2968	 120	46.2	  35.5972	 2.9259
11	 3366	 112	51.8	  35.5947	 3.1771
12	 3672	 115	47.1	  35.5925	 3.0006
13	 4157	 121	45.3	  35.5526	 2.8647
14	 4251	 115	48.4	  35.4877	 3.1690
15	 4778	 113	50.3	  35.5432	 3.2993
16	 4804	 108	50.6	  35.4763	 3.3932
17	 5349	 100	46.7	  35.3693	 3.9560
18	 5172	 111	47.4	  35.4004	 3.3454
19	 5183	 102	44.2	  35.6473	 2.9412
20	 6501	  88	39.7	  35.6027	 2.8219
21	 7052	  91	42.3	  35.5539	 3.0078
22	 7555	 102	42.1	  35.5092	 2.9567
23	 8556	 111	46.9	  35.4872	 3.1072
24	 9053	 107	48.3	  35.5504	 3.1064
25	 9934	  89	42.7	  35.5709	 3.0054
26	10763	  92	45.2	  35.5629	 3.0178
27	10642	  81	44.1	  35.6286	 3.3464
28	11786	  67	47.0	  35.5539	 3.2469
29	12510	  68	44.3	  35.5172	 3.0095
30	12636	  77	36.7	  35.6429	 2.9163
31	12687	  73	40.0	  35.5024	 3.1673
32	13143	  68	43.0	  35.5321	 3.0921
33	13387	  68	40.9	  35.5308	 2.8714
34	13886	  74	35.8	  35.5927	 3.0288
35	13296	  79	36.8	  35.5628	 3.0908
36	13268	  70	45.6	  35.5532	 3.2244
37	15524	  55	49.4	  35.5033	 3.4222
38	15988	  64	46.0	  35.5525	 2.9922
39	16324	  85	46.4	  35.5066	 3.2335
40	15329	  67	44.1	  35.4386	 3.1496
41	16543	  67	43.7	  35.4954	 3.1653
42	16884	  80	43.0	  35.5186	 3.0355
43	16605	  60	49.5	  35.5356	 3.8348
44	18364	  73	44.3	  35.5520	 3.1862
45	18280	  74	43.8	  35.5164	 3.4654
46	18141	  43	49.5	  35.5297	 3.7931
47	19796	  59	44.7	  35.5400	 3.7921
48	18149	  47	39.5	  35.4417	 3.0472
49	20513	  52	35.2	  35.5275	 3.4006
50	19176	  40	42.4	  35.4539	 3.5707
51	18735	  47	40.9	  35.3829	 3.7014
52	20597	  60	31.0	  35.4903	 2.8646
53	21348	  42	33.6	  35.6172	 3.1934
54	21996	  40	28.5	  35.5764	 2.9741
55	18191	  30	25.8	  35.5082	 2.8603
56	18194	  13	36.3	  35.4440	 2.9472
57	    0	   0	 0.0	   0.0000	 0.0000
58	22309	  17	42.6	  35.4554	 3.4630
59	21049	  23	34.4	  35.5210	 3.2710
60	24143	  47	37.6	  35.4916	 3.2654
61	27116	  41	38.9	  35.5079	 3.1162
62	28569	  48	36.8	  35.4778	 3.2208
63	19284	   7	36.5	  35.4990	 3.1404
64	27057	  31	29.6	  35.4535	 3.1139
65	30193	  25	44.6	  35.5170	 3.3851
66	    0	   0	 0.0	   0.0000	 0.0000
67	21903	   5	26.7	  35.4447	 2.8597
68	31102	  23	29.8	  35.4788	 2.9686
69	30241	  32	22.3	  35.5060	 3.2129
70	29661	  19	21.5	  35.4954	 2.9536
71	    0	   0	 0.0	   0.0000	 0.0000
