order	maxcpp	nlines	contrast	RV	sig
-----	------	------	--------	--	---
 0	  642	 106	50.7	  35.5256	 3.2450
 1	  558	 104	45.7	  35.4449	 3.1202
 2	  769	  96	50.6	  35.4846	 2.8917
 3	  946	  96	46.4	  35.7758	 3.1073
 4	 1104	 114	47.6	  35.5776	 3.2395
 5	 1121	 114	40.9	  35.4036	 2.9919
 6	 1399	 103	44.4	  35.5292	 2.8988
 7	 1532	 114	38.6	  35.4263	 2.7162
 8	 2480	 125	48.7	  35.4551	 2.9712
 9	 2765	 123	49.7	  35.5152	 3.2215
10	 2969	 120	46.2	  35.5902	 2.9146
11	 3355	 112	52.1	  35.5834	 3.1652
12	 3653	 115	47.2	  35.5935	 3.0009
13	 4170	 121	45.2	  35.5474	 2.8714
14	 4268	 115	48.2	  35.4866	 3.1919
15	 4809	 113	50.4	  35.5496	 3.3025
16	 4829	 108	50.8	  35.4787	 3.3886
17	 5422	 100	46.9	  35.3794	 3.9502
18	 5239	 111	47.4	  35.4034	 3.3426
19	 5270	 102	44.3	  35.6343	 2.9252
20	 6596	  88	39.9	  35.5995	 2.8197
21	 7187	  91	42.1	  35.5462	 3.0200
22	 7720	 102	42.1	  35.5070	 2.9434
23	 8760	 111	46.8	  35.4877	 3.1024
24	 9307	 107	48.4	  35.5414	 3.1026
25	10213	  89	42.7	  35.5718	 3.0095
26	11018	  92	45.2	  35.5670	 3.0199
27	10902	  81	44.1	  35.6174	 3.3478
28	12075	  67	46.9	  35.5508	 3.2505
29	12793	  68	44.4	  35.5175	 2.9998
30	12917	  77	36.7	  35.6423	 2.9089
31	12919	  73	39.9	  35.5090	 3.1649
32	13304	  68	43.0	  35.5394	 3.0769
33	13558	  68	41.0	  35.5287	 2.8702
34	13999	  74	35.7	  35.5880	 3.0371
35	13387	  79	36.8	  35.5611	 3.0852
36	13391	  70	45.5	  35.5535	 3.2278
37	15655	  55	49.4	  35.4979	 3.4110
38	15953	  64	46.0	  35.5453	 2.9852
39	16330	  85	46.4	  35.5110	 3.2271
40	15308	  67	44.1	  35.4563	 3.1486
41	16585	  67	43.8	  35.4785	 3.1752
42	16857	  80	43.2	  35.5189	 3.0216
43	16565	  60	49.5	  35.5329	 3.8322
44	18412	  73	44.3	  35.5517	 3.1844
45	18328	  74	43.9	  35.5178	 3.4648
46	18191	  43	49.6	  35.5267	 3.7836
47	19901	  59	44.7	  35.5427	 3.7877
48	18207	  47	39.6	  35.4527	 3.0479
49	20657	  52	35.4	  35.5267	 3.3685
50	19267	  40	42.5	  35.4584	 3.5716
51	18965	  47	41.0	  35.3956	 3.6953
52	20846	  60	31.2	  35.4925	 2.8618
53	21746	  42	33.6	  35.6179	 3.1862
54	22312	  40	28.7	  35.5692	 2.9635
55	18460	  30	25.8	  35.5221	 2.8605
56	18891	  13	36.4	  35.5019	 2.9568
57	    0	   0	 0.0	   0.0000	 0.0000
58	22485	  17	42.8	  35.4570	 3.4563
59	21358	  23	34.6	  35.4935	 3.2437
60	24575	  47	37.5	  35.5084	 3.2579
61	27684	  41	39.1	  35.5059	 3.1220
62	28977	  48	36.9	  35.4723	 3.2231
63	19102	   7	36.7	  35.5197	 3.1341
64	27179	  31	29.6	  35.4453	 3.0840
65	30408	  25	44.5	  35.5260	 3.3855
66	    0	   0	 0.0	   0.0000	 0.0000
67	21556	   5	26.9	  35.4675	 2.8616
68	30890	  23	29.8	  35.4572	 2.9756
69	30273	  32	22.4	  35.4863	 3.1917
70	30113	  19	21.6	  35.4713	 2.9492
71	    0	   0	 0.0	   0.0000	 0.0000
