order	maxcpp	nlines	contrast	RV	sig
-----	------	------	--------	--	---
 0	  754	 106	50.8	  35.5135	 3.2445
 1	  656	 104	45.8	  35.4902	 3.1042
 2	  907	  96	50.1	  35.4991	 2.9227
 3	 1118	  96	46.6	  35.7842	 3.1137
 4	 1303	 114	47.7	  35.5651	 3.2449
 5	 1325	 114	40.8	  35.3843	 2.9765
 6	 1648	 103	44.4	  35.5426	 2.8711
 7	 1818	 114	38.5	  35.4261	 2.7123
 8	 2919	 125	48.7	  35.4530	 2.9743
 9	 3261	 123	49.8	  35.5104	 3.2187
10	 3489	 120	46.3	  35.5833	 2.9203
11	 3963	 112	52.0	  35.5890	 3.1576
12	 4307	 115	47.2	  35.5978	 2.9972
13	 4906	 121	45.3	  35.5663	 2.8712
14	 5018	 115	48.2	  35.4947	 3.1786
15	 5666	 113	50.4	  35.5499	 3.3007
16	 5698	 108	50.7	  35.4828	 3.3894
17	 6393	 100	46.8	  35.3801	 3.9527
18	 6175	 111	47.4	  35.4027	 3.3429
19	 6200	 102	44.3	  35.6537	 2.9269
20	 7787	  88	39.7	  35.5936	 2.8106
21	 8472	  91	42.1	  35.5505	 3.0123
22	 9079	 102	42.1	  35.5113	 2.9541
23	10312	 111	46.9	  35.4845	 3.1021
24	10946	 107	48.3	  35.5496	 3.1035
25	12000	  89	42.9	  35.5743	 3.0017
26	12965	  92	45.1	  35.5742	 3.0231
27	12818	  81	44.2	  35.6302	 3.3477
28	14199	  67	46.9	  35.5540	 3.2523
29	15061	  68	44.4	  35.5236	 3.0009
30	15188	  77	36.7	  35.6405	 2.9126
31	15215	  73	40.0	  35.5051	 3.1657
32	15721	  68	43.0	  35.5373	 3.0782
33	16054	  68	40.8	  35.5317	 2.8661
34	16519	  74	35.7	  35.6059	 3.0287
35	15791	  79	36.8	  35.5628	 3.0777
36	15792	  70	45.6	  35.5544	 3.2212
37	18487	  55	49.4	  35.5032	 3.4095
38	18870	  64	46.0	  35.5420	 2.9838
39	19310	  85	46.4	  35.5152	 3.2361
40	18066	  67	44.2	  35.4589	 3.1464
41	19590	  67	43.7	  35.4929	 3.1648
42	19935	  80	43.2	  35.5243	 3.0248
43	19567	  60	49.4	  35.5304	 3.8399
44	21713	  73	44.4	  35.5626	 3.1785
45	21691	  74	43.9	  35.5206	 3.4530
46	21415	  43	49.6	  35.5283	 3.7888
47	23432	  59	44.7	  35.5470	 3.7985
48	21457	  47	39.5	  35.4597	 3.0440
49	24320	  52	35.4	  35.5303	 3.3856
50	22678	  40	42.5	  35.4634	 3.5528
51	22321	  47	41.0	  35.3905	 3.7046
52	24521	  60	31.1	  35.5025	 2.8687
53	25622	  42	33.6	  35.6282	 3.2095
54	26317	  40	28.6	  35.5637	 2.9672
55	21772	  30	25.8	  35.5171	 2.8558
56	22189	  13	36.6	  35.5142	 2.9584
57	    0	   0	 0.0	   0.0000	 0.0000
58	26522	  17	42.7	  35.4376	 3.4837
59	25171	  23	34.6	  35.5260	 3.2402
60	28938	  47	37.5	  35.5103	 3.2621
61	32702	  41	38.9	  35.5194	 3.1176
62	34224	  48	36.9	  35.4748	 3.2305
63	22498	   7	36.7	  35.5091	 3.1124
64	32181	  31	29.5	  35.4550	 3.0937
65	35894	  25	44.7	  35.5408	 3.3740
66	    0	   0	 0.0	   0.0000	 0.0000
67	25499	   5	27.1	  35.4528	 2.8569
68	36551	  23	30.0	  35.4691	 2.9559
69	35681	  32	22.2	  35.5095	 3.2618
70	35388	  19	21.5	  35.4687	 2.9570
71	    0	   0	 0.0	   0.0000	 0.0000
