order	maxcpp	nlines	contrast	RV	sig
-----	------	------	--------	--	---
 0	  739	 106	50.2	  35.5229	 3.2296
 1	  637	 104	45.5	  35.4345	 3.1181
 2	  886	  96	50.0	  35.4782	 2.8927
 3	 1089	  96	46.6	  35.7924	 3.1243
 4	 1271	 114	47.5	  35.5608	 3.2392
 5	 1299	 114	40.7	  35.4042	 2.9588
 6	 1626	 103	44.1	  35.5633	 2.8879
 7	 1783	 114	38.3	  35.4344	 2.7236
 8	 2891	 125	48.6	  35.4555	 2.9747
 9	 3227	 123	49.8	  35.5164	 3.2299
10	 3470	 120	46.0	  35.6049	 2.9178
11	 3926	 112	52.0	  35.6051	 3.1482
12	 4262	 115	47.3	  35.5964	 2.9927
13	 4876	 121	45.1	  35.5678	 2.8700
14	 4982	 115	48.3	  35.4853	 3.1762
15	 5623	 113	50.3	  35.5409	 3.2933
16	 5643	 108	50.6	  35.4820	 3.3983
17	 6305	 100	46.7	  35.3842	 3.9491
18	 6104	 111	47.4	  35.3962	 3.3329
19	 6117	 102	44.3	  35.6364	 2.9243
20	 7636	  88	39.6	  35.6043	 2.8224
21	 8307	  91	42.2	  35.5516	 3.0117
22	 8908	 102	42.0	  35.5044	 2.9530
23	10095	 111	46.9	  35.4887	 3.1024
24	10704	 107	48.4	  35.5436	 3.1003
25	11744	  89	42.8	  35.5606	 2.9964
26	12702	  92	45.0	  35.5677	 3.0227
27	12535	  81	44.2	  35.6096	 3.3457
28	13855	  67	47.0	  35.5432	 3.2522
29	14684	  68	44.5	  35.5152	 3.0076
30	14848	  77	36.7	  35.6404	 2.9142
31	14898	  73	39.8	  35.5145	 3.1715
32	15361	  68	43.0	  35.5237	 3.0921
33	15693	  68	40.9	  35.5347	 2.8680
34	16194	  74	35.8	  35.5976	 3.0351
35	15503	  79	36.8	  35.5635	 3.0832
36	15516	  70	45.6	  35.5484	 3.2199
37	18199	  55	49.4	  35.4877	 3.4188
38	18579	  64	46.0	  35.5601	 2.9809
39	19023	  85	46.3	  35.5189	 3.2374
40	17806	  67	44.1	  35.4521	 3.1551
41	19309	  67	43.8	  35.4778	 3.1712
42	19732	  80	43.1	  35.5202	 3.0331
43	19372	  60	49.4	  35.5371	 3.8420
44	21481	  73	44.3	  35.5529	 3.1885
45	21403	  74	43.9	  35.5291	 3.4594
46	21137	  43	49.5	  35.5305	 3.7854
47	23149	  59	44.7	  35.5315	 3.7955
48	21217	  47	39.6	  35.4602	 3.0525
49	24001	  52	35.3	  35.5212	 3.3873
50	22411	  40	42.3	  35.4545	 3.5578
51	21988	  47	41.0	  35.3941	 3.7127
52	24130	  60	31.1	  35.4961	 2.8687
53	25136	  42	33.5	  35.6241	 3.2144
54	25832	  40	28.7	  35.5594	 2.9683
55	21390	  30	25.8	  35.5040	 2.8606
56	21692	  13	36.5	  35.5041	 2.9596
57	    0	   0	 0.0	   0.0000	 0.0000
58	26037	  17	42.8	  35.4332	 3.4658
59	24713	  23	34.5	  35.5196	 3.2582
60	28434	  47	37.6	  35.4987	 3.2627
61	32043	  41	38.9	  35.5220	 3.1220
62	33600	  48	36.9	  35.4794	 3.2290
63	22292	   7	36.6	  35.4912	 3.1466
64	31687	  31	29.6	  35.4611	 3.0886
65	35437	  25	44.4	  35.5307	 3.3760
66	    0	   0	 0.0	   0.0000	 0.0000
67	25336	   5	26.9	  35.4508	 2.8473
68	36122	  23	29.8	  35.4662	 2.9482
69	35411	  32	22.4	  35.5126	 3.2004
70	34942	  19	21.6	  35.5101	 2.9248
71	    0	   0	 0.0	   0.0000	 0.0000
