order	maxcpp	nlines	contrast	RV	sig
-----	------	------	--------	--	---
 0	  215	 106	51.2	  35.5342	 3.2482
 1	  187	 104	44.9	  35.5360	 3.1052
 2	  261	  96	49.5	  35.5247	 2.9037
 3	  317	  96	46.7	  35.7705	 3.0993
 4	  371	 114	47.9	  35.5761	 3.2660
 5	  378	 114	40.8	  35.4231	 2.9618
 6	  473	 103	44.1	  35.5589	 2.9028
 7	  517	 114	38.2	  35.4762	 2.6923
 8	  837	 125	48.7	  35.4801	 2.9835
 9	  935	 123	49.7	  35.5296	 3.2270
10	  998	 120	45.9	  35.6235	 2.9253
11	 1133	 112	51.7	  35.5959	 3.1711
12	 1231	 115	47.0	  35.6110	 3.0016
13	 1393	 121	45.5	  35.5690	 2.8620
14	 1427	 115	48.3	  35.4899	 3.1793
15	 1616	 113	50.3	  35.5522	 3.3084
16	 1619	 108	50.6	  35.5030	 3.4032
17	 1811	 100	46.9	  35.3864	 3.9351
18	 1756	 111	47.3	  35.4097	 3.3456
19	 1760	 102	44.1	  35.6518	 2.9331
20	 2211	  88	39.7	  35.5979	 2.8179
21	 2401	  91	42.1	  35.5699	 3.0185
22	 2573	 102	42.1	  35.5089	 2.9538
23	 2932	 111	46.8	  35.5067	 3.1085
24	 3108	 107	48.4	  35.5627	 3.1021
25	 3422	  89	42.6	  35.5833	 3.0077
26	 3688	  92	45.1	  35.5781	 3.0207
27	 3648	  81	44.3	  35.6359	 3.3393
28	 4037	  67	46.9	  35.5571	 3.2420
29	 4272	  68	44.4	  35.5395	 2.9981
30	 4327	  77	36.7	  35.6508	 2.9157
31	 4329	  73	39.9	  35.5091	 3.1803
32	 4473	  68	43.0	  35.5374	 3.1011
33	 4569	  68	40.9	  35.5482	 2.8737
34	 4709	  74	35.8	  35.5972	 3.0234
35	 4504	  79	36.8	  35.5822	 3.0872
36	 4499	  70	45.6	  35.5609	 3.2295
37	 5279	  55	49.3	  35.5000	 3.4092
38	 5376	  64	46.1	  35.5694	 2.9964
39	 5506	  85	46.3	  35.5337	 3.2323
40	 5156	  67	44.2	  35.4667	 3.1434
41	 5573	  67	43.9	  35.4977	 3.1626
42	 5679	  80	43.3	  35.5350	 3.0229
43	 5589	  60	49.4	  35.5415	 3.8307
44	 6183	  73	44.4	  35.5713	 3.1753
45	 6152	  74	44.1	  35.5443	 3.4551
46	 6088	  43	49.7	  35.5427	 3.7835
47	 6673	  59	44.7	  35.5519	 3.7774
48	 6114	  47	39.5	  35.4696	 3.0457
49	 6922	  52	35.3	  35.5334	 3.3947
50	 6452	  40	42.6	  35.4756	 3.5457
51	 6358	  47	41.0	  35.4130	 3.7085
52	 6976	  60	31.1	  35.5188	 2.8803
53	 7277	  42	33.6	  35.6257	 3.2075
54	 7480	  40	28.7	  35.5836	 2.9435
55	 6219	  30	25.8	  35.5524	 2.8555
56	 6295	  13	36.2	  35.5227	 2.9827
57	    0	   0	 0.0	   0.0000	 0.0000
58	 7587	  17	42.8	  35.4462	 3.4554
59	 7175	  23	34.8	  35.5351	 3.2084
60	 8265	  47	37.4	  35.5211	 3.2562
61	 9280	  41	38.9	  35.5149	 3.1211
62	 9736	  48	36.9	  35.5002	 3.2212
63	 6467	   7	36.9	  35.5691	 3.1131
64	 9122	  31	29.5	  35.4685	 3.0835
65	10215	  25	44.4	  35.5613	 3.3875
66	    0	   0	 0.0	   0.0000	 0.0000
67	 7324	   5	26.3	  35.5181	 2.9546
68	10366	  23	29.8	  35.5073	 2.9733
69	10144	  32	22.3	  35.5356	 3.2162
70	10053	  19	21.4	  35.4921	 2.9369
71	    0	   0	 0.0	   0.0000	 0.0000
