order	maxcpp	nlines	contrast	RV	sig
-----	------	------	--------	--	---
 0	  359	 106	50.5	  35.5343	 3.2491
 1	  310	 104	45.9	  35.4160	 3.0730
 2	  434	  96	50.2	  35.4872	 2.8883
 3	  528	  96	46.9	  35.7495	 3.0993
 4	  616	 114	47.7	  35.5802	 3.2475
 5	  629	 114	41.1	  35.3870	 2.9753
 6	  784	 103	44.4	  35.5605	 2.8777
 7	  861	 114	38.3	  35.4434	 2.7155
 8	 1383	 125	48.8	  35.4496	 2.9663
 9	 1554	 123	49.7	  35.5168	 3.2118
10	 1657	 120	46.3	  35.5787	 2.9110
11	 1879	 112	52.0	  35.5870	 3.1572
12	 2043	 115	47.1	  35.5810	 2.9967
13	 2325	 121	45.4	  35.5680	 2.8701
14	 2381	 115	48.2	  35.4871	 3.1696
15	 2683	 113	50.3	  35.5372	 3.3096
16	 2695	 108	50.8	  35.4788	 3.3908
17	 3026	 100	46.7	  35.3850	 3.9510
18	 2925	 111	47.5	  35.3891	 3.3383
19	 2931	 102	44.2	  35.6365	 2.9214
20	 3683	  88	39.7	  35.5949	 2.8041
21	 4009	  91	42.2	  35.5566	 3.0164
22	 4316	 102	41.8	  35.5102	 2.9584
23	 4889	 111	46.7	  35.4904	 3.1186
24	 5171	 107	48.4	  35.5488	 3.1104
25	 5691	  89	42.7	  35.5743	 3.0065
26	 6135	  92	45.1	  35.5615	 3.0182
27	 6083	  81	44.1	  35.6321	 3.3413
28	 6745	  67	46.8	  35.5535	 3.2463
29	 7134	  68	44.5	  35.5168	 2.9983
30	 7207	  77	36.7	  35.6485	 2.9171
31	 7205	  73	39.9	  35.5076	 3.1701
32	 7447	  68	43.0	  35.5335	 3.0782
33	 7610	  68	41.0	  35.5294	 2.8632
34	 7833	  74	35.8	  35.6023	 3.0339
35	 7476	  79	36.9	  35.5702	 3.0842
36	 7471	  70	45.6	  35.5393	 3.2338
37	 8765	  55	49.4	  35.4959	 3.4148
38	 8913	  64	46.0	  35.5364	 2.9843
39	 9156	  85	46.4	  35.5086	 3.2351
40	 8553	  67	44.3	  35.4545	 3.1270
41	 9273	  67	43.9	  35.4861	 3.1570
42	 9431	  80	43.2	  35.5095	 3.0372
43	 9269	  60	49.4	  35.5195	 3.8337
44	10295	  73	44.2	  35.5537	 3.1783
45	10235	  74	44.0	  35.5132	 3.4624
46	10158	  43	49.6	  35.5236	 3.7808
47	11128	  59	44.6	  35.5366	 3.7866
48	10173	  47	39.6	  35.4497	 3.0451
49	11516	  52	35.4	  35.5263	 3.3829
50	10748	  40	42.3	  35.4720	 3.5562
51	10571	  47	41.1	  35.3906	 3.7020
52	11618	  60	31.2	  35.4937	 2.8718
53	12163	  42	33.4	  35.6205	 3.2028
54	12466	  40	28.6	  35.5751	 2.9693
55	10296	  30	25.7	  35.5172	 2.8555
56	10509	  13	36.4	  35.5174	 2.9418
57	    0	   0	 0.0	   0.0000	 0.0000
58	12618	  17	42.6	  35.4476	 3.4659
59	11952	  23	34.5	  35.5135	 3.2667
60	13734	  47	37.6	  35.4990	 3.2504
61	15458	  41	38.9	  35.5014	 3.1113
62	16213	  48	36.9	  35.4725	 3.2217
63	10738	   7	36.7	  35.5202	 3.1117
64	15221	  31	29.8	  35.4574	 3.0704
65	17011	  25	44.6	  35.5275	 3.3786
66	    0	   0	 0.0	   0.0000	 0.0000
67	12087	   5	26.9	  35.4849	 2.8787
68	17259	  23	29.8	  35.4638	 2.9737
69	16864	  32	22.3	  35.4823	 3.2183
70	16762	  19	21.7	  35.4648	 2.9222
71	    0	   0	 0.0	   0.0000	 0.0000
